epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,14868.9,0.82342,0.51171,0.89521,0.83775,0.78726,0.84242,0.62082,0.84983,0.50113,0.89484,0.0034165,0.0034165,0.0034165
135,14980,0.81843,0.508,0.89419,0.82477,0.79789,0.84136,0.6216,0.85041,0.50113,0.89457,0.003367,0.003367,0.003367
136,15090.1,0.82258,0.509,0.89476,0.81758,0.79884,0.8405,0.62128,0.85033,0.50084,0.89446,0.0033175,0.0033175,0.0033175
137,15200.4,0.81998,0.50948,0.89313,0.79951,0.80669,0.841,0.62225,0.85207,0.50374,0.89477,0.003268,0.003268,0.003268
138,15308.2,0.81626,0.50598,0.89325,0.79457,0.81531,0.84129,0.62249,0.85199,0.50313,0.8947,0.0032185,0.0032185,0.0032185
139,15416,0.81291,0.5055,0.89251,0.79858,0.81313,0.84223,0.62286,0.85155,0.50282,0.89457,0.003169,0.003169,0.003169
140,15523.8,0.80934,0.50209,0.89209,0.79432,0.81774,0.84219,0.62442,0.85097,0.50154,0.89448,0.0031195,0.0031195,0.0031195
141,15631.7,0.81357,0.50417,0.89117,0.8238,0.79354,0.84297,0.62642,0.85106,0.50085,0.89421,0.00307,0.00307,0.00307
142,15739.6,0.81125,0.50302,0.8913,0.79434,0.81356,0.84257,0.62646,0.85079,0.50147,0.8941,0.0030205,0.0030205,0.0030205
143,15847.4,0.80925,0.5017,0.89032,0.82534,0.79276,0.84262,0.62688,0.85071,0.5009,0.8937,0.002971,0.002971,0.002971
144,15955.2,0.80794,0.50014,0.89092,0.79793,0.80879,0.84233,0.62561,0.85033,0.50105,0.8939,0.0029215,0.0029215,0.0029215
145,16063.1,0.80334,0.49807,0.88898,0.81044,0.80001,0.84237,0.62563,0.85009,0.50198,0.89367,0.002872,0.002872,0.002872
146,16170.8,0.80447,0.498,0.88866,0.82586,0.79474,0.84352,0.62535,0.8507,0.5013,0.89353,0.0028225,0.0028225,0.0028225
147,16278.7,0.8022,0.49835,0.89075,0.82612,0.79348,0.84437,0.62683,0.85009,0.5005,0.89365,0.002773,0.002773,0.002773
148,16386.5,0.80334,0.49714,0.88818,0.82137,0.79475,0.84389,0.62691,0.84947,0.50061,0.89328,0.0027235,0.0027235,0.0027235
149,16494.4,0.79974,0.49648,0.88912,0.82269,0.79661,0.8441,0.62776,0.84811,0.50069,0.89299,0.002674,0.002674,0.002674
150,16602.4,0.80099,0.49341,0.88718,0.82453,0.79737,0.84453,0.628,0.84795,0.50058,0.8929,0.0026245,0.0026245,0.0026245
151,16710.2,0.80008,0.49545,0.88799,0.79846,0.81109,0.8442,0.62797,0.84785,0.50045,0.89273,0.002575,0.002575,0.002575
152,16818.1,0.79573,0.49107,0.88548,0.79759,0.81132,0.84403,0.62916,0.84783,0.50065,0.8927,0.0025255,0.0025255,0.0025255
153,16925.9,0.79633,0.49249,0.88757,0.82688,0.793,0.84371,0.6291,0.84708,0.50072,0.89236,0.002476,0.002476,0.002476
154,17033.8,0.7948,0.49202,0.88639,0.83155,0.79281,0.8438,0.6287,0.84702,0.49999,0.89232,0.0024265,0.0024265,0.0024265
155,17141.7,0.78465,0.48482,0.88399,0.82975,0.79318,0.84393,0.62865,0.84625,0.49924,0.89229,0.002377,0.002377,0.002377
156,17249.7,0.79279,0.48967,0.88645,0.83368,0.79553,0.84664,0.62964,0.84498,0.49932,0.89218,0.0023275,0.0023275,0.0023275
157,17357.5,0.79084,0.48794,0.88627,0.83274,0.79587,0.84672,0.62975,0.84548,0.49989,0.8922,0.002278,0.002278,0.002278
158,17465.4,0.78188,0.48195,0.88321,0.83197,0.79631,0.84724,0.62923,0.8453,0.49951,0.89237,0.0022285,0.0022285,0.0022285
159,17573.3,0.78713,0.48523,0.88383,0.8036,0.81489,0.84638,0.62936,0.84465,0.49974,0.89209,0.002179,0.002179,0.002179
